Variable,Definition,Key
survived,Survival,"0 = No, 1 = Yes"
pclass,Ticket class,"1 = 1st, 2 = 2nd, 3 = 3rd"
sex,Gender
age,Age in years
sibsp,# of siblings / spouses aboard the Titanic,"Sibling = brother, sister Spouse = husband, wife"
parch,# of parents / children aboard the Titanic
fare,Passenger fare
cabin,Cabin number
embarked,Port of Embarkation,"C = Cherbourg, Q = Queenstown, S = Southampton"
class,Class of tickets,"First, Second, Third class"
who,Identity,"man, woman, child"
adult_male,Is male adult or not,"Ture, False
embark_town,The town of embarkation,"Cherbourg, Queenstown, Southampton"
alive,same as the survived,"no, yes"

,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,sipsp
0,,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,-1.0
1,1.0,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,-1.0
2,1.0,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,
3,1.0,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,-1.0
4,,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
5,,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,
6,,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,
7,,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,
8,1.0,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,
9,1.0,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,-1.0
10,1.0,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,-1.0
11,1.0,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,
12,,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
13,,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,-1.0
14,,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,
15,1.0,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,
16,,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,
17,1.0,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,
18,,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,-1.0
19,1.0,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,
20,,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,
21,1.0,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,
22,1.0,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,
23,1.0,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,
24,,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,
25,1.0,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,-1.0
26,,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,
27,,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,
28,1.0,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,
29,,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,
30,,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,
31,1.0,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,-1.0
32,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
33,,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,
34,,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,-1.0
35,,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,-1.0
36,1.0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,
37,,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,
38,,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,
39,1.0,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,-1.0
40,,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,-1.0
41,,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,-1.0
42,,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,
43,1.0,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,-1.0
44,1.0,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,
45,,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,
46,,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,-1.0
47,1.0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,
48,,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,
49,,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,-1.0
50,,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,
51,,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,
52,1.0,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,-1.0
53,1.0,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-1.0
54,,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,
55,1.0,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,
56,1.0,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,
57,,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,
58,1.0,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,-1.0
59,,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,
60,,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,
61,1.0,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,
